run_id,timestamp,claim_id,experiment_id,workload,variant,adapter_commit,config_hash,seed,repetition,order_index,parameter_set,parameters_json,input_scale,native_work_units,threads,cores_visible,phase,latency_ms,cpu_time_ms,peak_rss_mb,proof_bytes,verify_ok,exit_code,error_type,page_faults,process_read_bytes,process_write_bytes,peak_swap_mb,ram_per_application_unit,process_counter_provider,measurement_scope,energy_joules,energy_source,cold_start,invalid_proof_kind,rejection_latency_ms,metric_unavailable_reason,boundary_reason,evidence_class,result_scope,run_role,recorded,phase_supported,phase_status,phase_metrics_json,constraints,public_inputs,native_relation_size,relation_unit,counter_sampling_interval_ms,counter_samples,system_mem_total_mb,system_swap_total_mb,system_mem_available_start_mb,system_mem_available_end_mb,system_mem_available_min_mb,system_swap_used_start_mb,system_swap_used_end_mb,system_swap_used_peak_mb,system_swap_in_pages_delta,system_swap_out_pages_delta,system_swap_in_mb_delta,system_swap_out_mb_delta,system_swap_io_observed,system_counter_provider,system_counter_unavailable_reason,system_sampling_interval_ms,system_counter_samples
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755189+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,native_execution,2.353703,,,,,,,,,,,,,phase,,,true,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,true,ok,"{""application_units"":2.0,""hash_invocations"":4.0,""hash_rounds"":5.0,""native_work_units"":1048576.0,""range_bits_total"":32.0,""relation_digest"":1730283009582800.0,""target_native_size"":1048576.0}",,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755362+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,witness,182820.273680,,,,,,,,,,,,,phase,,,true,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,true,ok,"{""application_units"":2.0,""constraint_count"":1048576.0,""hash_invocations"":4.0,""hash_rounds"":5.0,""range_bits_total"":32.0,""target_native_size"":1048576.0}",,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755408+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,setup_or_preprocess,5288.966891,,,,,,,,,,,,,phase,,,true,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,true,ok,"{""constraint_count"":1048576.0}",,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755431+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,prove_total,7800.026051,,,,,,,,,,,,,phase,,,true,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,true,ok,"{""constraint_count"":1048576.0}",,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755449+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,serialize,0.029305,,,,,,,,,,,,,phase,,,true,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,true,ok,"{""proof_bytes"":192.0}",,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755466+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,deserialize,0.916391,,,,,,,,,,,,,phase,,,true,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,true,ok,"{""proof_bytes"":192.0}",,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755483+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,verify_core,1.937918,,,,,,,,,,,,,phase,,,true,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,true,ok,{},,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755499+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,verify_total,2.911425,,,,,,,,,,,,,phase,,,true,,,,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,true,ok,{},,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755514+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,fft_ntt,,,,,,,,,,,,,,phase,,,true,,,Arkworks Groth16 does not expose stable per-run FFT/MSM/commitment hooks,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,false,unsupported,{},,,,,,,,,,,,,,,,,,,,,,,
2a7a9988-f25c-4cbe-8994-f59a4cd115a4,2026-09-11T10:10:03.755529+00:00,PAPER-R1-MILLION-SWAP-AUDIT,million-swap-audit-groth16-v1,batched_state,ark-groth16-0.6.0-bls12-381,44e8d092a7a5ea18c970a8dd28b9f0f36f940dbc,8a919cc5f6a3d33f0730c7adc39774f6a443a090a38fa4f6026ecad1fa35e177,5566831274734495587,0,0,state-paper-r1,"{""application_units"":2,""hash_rounds"":5,""scale_mode"":""target_native_size"",""update_bits"":16}",1048576,1048576,16,16,msm,,,,,,,,,,,,,,phase,,,true,,,Arkworks Groth16 does not expose stable per-run FFT/MSM/commitment hooks,,measured,confirmatory million-unit WSL2/Linux memory-pressure audit; timing is not merged with the paper-scale campaign,os_cache_primer,false,false,unsupported,{},,,,,,,,,,,,,,,,,,,,,,,
