claim_id,experiment_id,adapter_commit,config_hash,workload,variant,parameter_set,parameters_json,phase,input_scale,threads,invalid_proof_kind,supported,n,mean_latency_ms,stdev_latency_ms,p50_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,median_cpu_time_ms,median_peak_rss_mb,median_page_faults,proof_bytes,native_relation_size,relation_unit,public_inputs,expected_outcomes,stdev_unavailable_reason,excluded_boundary_metrics,metric_unavailable_reason,speedup_vs_one_thread,speedup_ci_low,speedup_ci_high,parallel_efficiency,application_throughput_units_s,native_overhead_ratio,cpu_wall_ratio,ram_per_application_unit_mb,saturation_threads,scaling_coefficient_a,scaling_exponent_b,scaling_exponent_ci_low,scaling_exponent_ci_high,scaling_r_squared,evidence_class,result_scope,run_role,recorded
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,2,1,,true,10,89.986633,15.019709,88.402107,112.340332,76.043530,124.078892,35.000000,5.134766,346.000000,128,133,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/6091/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.395918,2.567383,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,2,1,wrong_public_input,true,10,85.658435,10.635264,82.382932,98.316597,72.279677,99.247447,30.000000,5.142578,324.000000,128,133,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1676/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2558/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/7111/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 3] No such process: '/proc/4504/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.364153,2.571289,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,2,2,,true,10,85.127213,11.455952,90.634109,94.674034,65.265042,95.170230,45.000000,5.345703,420.000000,128,133,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2624/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/2680/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/4288/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 3] No such process; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.496502,2.672852,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,2,4,,true,10,99.828896,8.273670,100.975871,107.704145,78.477447,108.236374,100.000000,5.658203,515.500000,128,133,r1cs_constraints,2,all-expected,,,"private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.990336,2.829102,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,2,4,wrong_public_input,true,10,94.807370,10.629414,100.533742,103.493946,79.230961,104.127599,95.000000,5.617188,514.500000,128,133,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2168/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.944956,2.808594,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,2,8,,true,10,122.139562,12.228850,125.085503,138.109354,105.909613,139.208260,215.000000,6.027343,615.500000,128,133,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/6659/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/5597/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.718824,3.013672,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,4,1,,true,10,111.184930,12.338953,111.513651,126.247693,95.890101,128.806594,50.000000,5.453125,510.000000,128,265,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2970/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/3892/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/4872/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 3] No such process; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.448376,1.363281,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,4,2,,true,10,103.630213,9.466942,107.348483,111.131596,82.749862,112.168316,70.000000,5.730469,579.500000,128,265,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2334/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/5583/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/4058/status'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,0.652082,1.432617,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,4,4,,true,10,114.604479,12.211362,119.607410,125.612640,96.945785,126.027079,140.000000,6.119141,693.000000,128,265,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/2524/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/6515/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.170496,1.529785,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
C3-APPLICATION-WORKLOADS,groth16-credential-final-v1,ef2b7370acbd2d0f7e2071ea52bd1ac2816b684f,b8548f4684d97726048d2d5999ce586b3fa2b0c1f577a63a327513162c702e52,credential,ark-groth16-0.6.0-bn254,age8-x5r5,"{""age_bits"":8,""hash_rounds"":5}",adapter_process_wall,4,8,,true,10,163.770601,3.521051,165.230773,167.281401,156.450527,167.549042,320.000000,6.527344,836.000000,128,265,r1cs_constraints,2,all-expected,,,"Linux procfs read failed: [Errno 13] Permission denied: '/proc/1367/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/4344/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 13] Permission denied: '/proc/5258/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; Linux procfs read failed: [Errno 2] No such file or directory: '/proc/1692/io'; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2; private commit and per-process swap I/O are unavailable; VmSwap reports allocation, not swap traffic; No documented hardware or OS energy counter is configured in WSL2",,,,,,,1.936685,1.631836,,,,,,,measured,final-candidate evidence; validate bundle before paper reporting,measurement,true
